series_id,var_code,area_code,var_stub,seas,yearm,yr,mth,lvl,gyy
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Dec 1997,1997,12,165,NA
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Feb 1998,1998,2,166.5,NA
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Apr 1998,1998,4,166.4,NA
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Jun 1998,1998,6,167.5,NA
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Aug 1998,1998,8,168.5,NA
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Oct 1998,1998,10,169.3,NA
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Dec 1998,1998,12,169.4,0.026666666666666616
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Feb 1999,1999,2,170.6,0.02462462462462467
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Apr 1999,1999,4,172.2,0.03485576923076916
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Jun 1999,1999,6,172.7,0.031044776119402817
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Aug 1999,1999,8,173.4,0.02908011869436211
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Oct 1999,1999,10,174.7,0.031896042528056556
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Dec 1999,1999,12,174.4,0.029515938606847758
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Feb 2000,2000,2,176.1,0.03223915592028126
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Apr 2000,2000,4,177.8,0.03252032520325221
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Jun 2000,2000,6,179.2,0.03763752171395485
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Aug 2000,2000,8,180.3,0.03979238754325265
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Oct 2000,2000,10,182.1,0.04235832856325139
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Dec 2000,2000,12,181.5,0.04071100917431192
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Feb 2001,2001,2,184,0.04486087450312315
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Apr 2001,2001,4,184.2,0.035995500562429505
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Jun 2001,2001,6,186.3,0.03962053571428581
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Aug 2001,2001,8,186.8,0.03605102606766497
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Oct 2001,2001,10,187.9,0.0318506315211422
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Dec 2001,2001,12,186.1,0.02534435261707979
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Feb 2002,2002,2,187.6,0.019565217391304346
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Apr 2002,2002,4,188.8,0.024972855591748333
CUURS49DSA0,KSP_CPIU_NSA,KSP,CPIU,NSA,Jun 2002,2002,6,189.4,0.016639828234031206
