yearm,KSP_CPIU_NSA,KSP_CPIW_NSA,US_CPIU_NSA,US_CPIU_SA,US_CPIW_NSA,US_CPIW_SA
Jan 2000,NA,NA,168.8,169.3,165.6,166
Feb 2000,176.1,171.6,169.8,170,166.5,166.7
Mar 2000,NA,NA,171.2,171,167.9,167.8
Apr 2000,177.8,173.3,171.3,170.9,168,167.6
May 2000,NA,NA,171.5,171.2,168.2,167.9
Jun 2000,179.2,174.5,172.4,172.2,169.2,169
Jul 2000,NA,NA,172.8,172.7,169.4,169.5
Aug 2000,180.3,175.4,172.8,172.7,169.3,169.3
Sep 2000,NA,NA,173.7,173.6,170.4,170.3
Oct 2000,182.1,177.5,174,173.9,170.6,170.5
Nov 2000,NA,NA,174.1,174.2,170.9,170.8
Dec 2000,181.5,177,174,174.6,170.7,171.2
Jan 2001,NA,NA,175.1,175.6,171.7,172.2
Feb 2001,184,179.2,175.8,176,172.4,172.5
Mar 2001,NA,NA,176.2,176.1,172.6,172.6
Apr 2001,184.2,179.4,176.9,176.4,173.5,173
May 2001,NA,NA,177.7,177.3,174.4,174
Jun 2001,186.3,181.3,178,177.7,174.6,174.2
Jul 2001,NA,NA,177.5,177.4,173.8,173.8
Aug 2001,186.8,181.5,177.5,177.4,173.8,173.8
Sep 2001,NA,NA,178.3,178.1,174.8,174.7
Oct 2001,187.9,183.1,177.7,177.6,174,173.9
Nov 2001,NA,NA,177.4,177.5,173.7,173.7
Dec 2001,186.1,181.1,176.7,177.4,172.9,173.4
Jan 2002,NA,NA,177.1,177.7,173.2,173.7
Feb 2002,187.6,182.5,177.8,178,173.7,173.9
Mar 2002,NA,NA,178.8,178.5,174.7,174.5
Apr 2002,188.8,183.6,179.8,179.3,175.8,175.4
May 2002,NA,NA,179.8,179.5,175.8,175.5
Jun 2002,189.4,184.1,179.9,179.6,175.9,175.7
Jul 2002,NA,NA,180.1,180,176.1,176.1
Aug 2002,190.3,184.8,180.7,180.5,176.6,176.6
Sep 2002,NA,NA,181,180.8,177,176.8
Oct 2002,190.9,185.5,181.3,181.2,177.3,177.2
Nov 2002,NA,NA,181.3,181.5,177.4,177.5
Dec 2002,190,184.6,180.9,181.8,177,177.7
Jan 2003,NA,NA,181.7,182.6,177.7,178.6
Feb 2003,191.3,186.2,183.1,183.6,179.2,179.7
Mar 2003,NA,NA,184.2,183.9,180.3,180.1
Apr 2003,192.3,187,183.8,183.2,179.8,179.2
May 2003,NA,NA,183.5,182.9,179.4,178.7
Jun 2003,191.7,185.7,183.7,183.1,179.6,178.9
Jul 2003,NA,NA,183.9,183.7,179.6,179.4
Aug 2003,194.4,188.2,184.6,184.5,180.3,180.3
