yearm,KSP_CPIU_NSA,KSP_CPIW_NSA,US_CPIU_NSA,US_CPIU_SA,US_CPIW_NSA,US_CPIW_SA
Feb 2000,176.1,171.6,169.8,170,166.5,166.7
Apr 2000,177.8,173.3,171.3,170.9,168,167.6
Jun 2000,179.2,174.5,172.4,172.2,169.2,169
Aug 2000,180.3,175.4,172.8,172.7,169.3,169.3
Oct 2000,182.1,177.5,174,173.9,170.6,170.5
Dec 2000,181.5,177,174,174.6,170.7,171.2
Feb 2001,184,179.2,175.8,176,172.4,172.5
Apr 2001,184.2,179.4,176.9,176.4,173.5,173
Jun 2001,186.3,181.3,178,177.7,174.6,174.2
Aug 2001,186.8,181.5,177.5,177.4,173.8,173.8
Oct 2001,187.9,183.1,177.7,177.6,174,173.9
Dec 2001,186.1,181.1,176.7,177.4,172.9,173.4
Feb 2002,187.6,182.5,177.8,178,173.7,173.9
Apr 2002,188.8,183.6,179.8,179.3,175.8,175.4
Jun 2002,189.4,184.1,179.9,179.6,175.9,175.7
Aug 2002,190.3,184.8,180.7,180.5,176.6,176.6
Oct 2002,190.9,185.5,181.3,181.2,177.3,177.2
Dec 2002,190,184.6,180.9,181.8,177,177.7
Feb 2003,191.3,186.2,183.1,183.6,179.2,179.7
Apr 2003,192.3,187,183.8,183.2,179.8,179.2
Jun 2003,191.7,185.7,183.7,183.1,179.6,178.9
Aug 2003,194.4,188.2,184.6,184.5,180.3,180.3
Oct 2003,193.7,187.8,185,184.9,180.7,180.6
Dec 2003,191,185.3,184.3,185.5,179.9,181
Feb 2004,193.5,187.8,186.2,186.7,181.9,182.4
Apr 2004,194.3,189.1,188,187.4,183.5,182.8
Jun 2004,195.3,190.4,189.7,188.9,185.3,184.4
Aug 2004,194.6,189.6,189.5,189.2,185,184.7
Oct 2004,196.5,191.6,190.9,190.8,186.5,186.4
Dec 2004,195.1,190.3,190.3,191.7,186,187.4
Feb 2005,197.6,192.4,191.8,192.4,187.3,188
Apr 2005,201.3,196.2,194.6,193.7,190.2,189.3
Jun 2005,199.8,194.8,194.5,193.7,190.1,189.3
Aug 2005,199.9,195.3,196.4,196.1,192.1,192
Oct 2005,203.3,198.6,199.2,199.1,195.2,195.2
Dec 2005,200.9,196.1,196.8,198.1,192.5,193.7
Feb 2006,203.6,198,198.7,199.4,194.2,195
Apr 2006,207.4,202.5,201.5,200.7,197.2,196.4
Jun 2006,208.2,203.8,202.9,201.8,198.6,197.4
Aug 2006,209.6,205.1,203.9,203.8,199.6,199.5
Oct 2006,209.8,203.9,201.8,201.9,197,197.1
Dec 2006,209.3,204.3,201.8,203.1,197.2,198.4
Feb 2007,211.704,205.746,203.499,204.226,198.544,199.396
Apr 2007,215.767,210.388,206.686,205.904,202.13,201.304
Jun 2007,215.51,210.55,208.352,207.234,203.906,202.652
Aug 2007,215.978,210.22,207.917,207.667,203.199,203.046
Oct 2007,218.427,213.107,208.936,209.19,204.338,204.671
Dec 2007,218.966,214.024,210.036,211.445,205.777,207.107
Feb 2008,221.728,216.332,211.693,212.687,207.254,208.448
Apr 2008,223.196,218.483,214.823,213.942,210.698,209.734
Jun 2008,228.068,223.573,218.815,217.463,215.223,213.68
Aug 2008,227.745,223.273,219.086,218.69,215.247,214.906
Oct 2008,225.915,220.687,216.573,216.995,212.182,212.714
Dec 2008,222.58,216.424,210.228,211.398,204.813,205.85
Feb 2009,224.737,218.752,212.193,212.705,206.708,207.285
Apr 2009,225.918,220.208,213.24,212.709,207.925,207.364
Jun 2009,227.257,221.993,215.693,214.79,210.972,209.999
Aug 2009,227.138,221.873,215.834,215.445,211.156,210.828
Oct 2009,226.277,221.339,216.177,216.509,211.549,211.976
Dec 2009,225.596,220.905,215.949,217.347,211.703,213.036
Feb 2010,226.085,221.215,216.741,217.281,212.544,213.125
Apr 2010,226.513,222.309,218.009,217.403,213.958,213.304
Jun 2010,226.118,221.857,217.965,217.199,213.839,213
Aug 2010,227.645,223.444,218.312,217.923,214.205,213.797
Oct 2010,227.251,223.112,218.711,219.035,214.623,215.048
Dec 2010,226.862,222.853,219.179,220.472,215.262,216.619
Feb 2011,229.482,225.79,221.309,221.898,217.535,218.231
Apr 2011,231.314,228.313,224.906,224.093,221.743,220.797
Jun 2011,233.25,230.072,225.722,224.806,222.522,221.466
Aug 2011,233.81,230.558,226.545,226.106,223.326,222.778
Oct 2011,235.916,232.697,226.421,226.75,223.043,223.481
Dec 2011,234.812,231.297,225.672,227.223,222.166,223.886
Feb 2012,235.744,232.081,227.663,228.329,224.317,225.107
Apr 2012,237.931,234.808,230.085,229.187,227.012,226.024
Jun 2012,239.54,236.222,229.478,228.524,226.036,224.997
Aug 2012,240.213,236.75,230.379,229.918,227.056,226.434
Oct 2012,241.355,237.947,231.317,231.638,227.974,228.4
Dec 2012,237.993,234.588,229.601,231.221,225.889,227.671
Feb 2013,239.898,236.542,232.166,232.937,228.677,229.633
Apr 2013,240.823,237.405,232.531,231.797,228.949,228.132
Jun 2013,242.82,238.963,233.504,232.445,230.002,228.842
Aug 2013,242.767,239.343,233.877,233.456,230.359,229.788
Oct 2013,242.787,239.363,233.546,233.669,229.735,229.92
Dec 2013,241.055,238.021,233.049,234.719,229.174,231.006
Feb 2014,242.77,239.607,234.781,235.547,230.871,231.898
Apr 2014,246.616,243.69,237.072,236.468,233.443,232.768
Jun 2014,247.642,244.293,238.343,237.231,234.702,233.416
Aug 2014,247.185,244.471,237.852,237.46,234.03,233.477
Oct 2014,247.854,244.289,237.433,237.43,233.229,233.208
Dec 2014,245.05,240.726,234.812,236.252,229.909,231.494
Feb 2015,245.496,240.735,234.722,235.342,229.421,230.264
Apr 2015,247.611,243.165,236.599,236.222,231.52,231.118
Jun 2015,251.622,246.925,238.638,237.657,233.804,232.72
Aug 2015,251.617,247.5,238.316,238.033,233.366,232.967
Oct 2015,250.831,246.307,237.838,237.733,232.373,232.262
Dec 2015,250.385,246.146,236.525,237.761,230.791,232.088
Feb 2016,250.942,246.464,237.111,237.336,230.972,231.279
Apr 2016,253.815,249.396,239.261,238.992,233.438,233.163
Jun 2016,256.098,251.848,241.018,240.222,235.289,234.419
Aug 2016,256.907,252.393,240.849,240.545,234.904,234.48
Oct 2016,256.941,252.639,241.729,241.741,235.732,235.776
Dec 2016,256.821,252.286,241.432,242.637,235.39,236.654
Feb 2017,259.503,255.471,243.603,244.006,237.477,238.014
Apr 2017,261.56,257.648,244.524,244.193,238.432,238.053
Jun 2017,263.756,259.487,244.955,244.163,238.813,237.927
Aug 2017,263.333,259.528,245.519,245.183,239.448,239.005
Oct 2017,264.653,261.218,246.663,246.626,240.573,240.539
Dec 2017,265.85,262.485,246.524,247.805,240.526,241.903
Feb 2018,268.031,264.477,248.991,249.439,242.988,243.595
Apr 2018,270.309,266.72,250.546,250.146,244.607,244.142
Jun 2018,272.395,268.957,251.989,251.118,246.196,245.206
Aug 2018,271.625,267.757,252.146,251.749,246.336,245.846
Oct 2018,272.805,269.719,252.885,252.862,247.038,247.007
Dec 2018,273.293,269.47,251.233,252.551,244.786,246.199
Feb 2019,275.304,271.039,252.776,253.135,246.218,246.711
Apr 2019,276.765,272.393,255.548,255.163,249.332,248.885
Jun 2019,278.631,273.488,256.143,255.361,249.747,248.862
Aug 2019,280.286,274.52,256.558,256.179,250.112,249.66
Oct 2019,278.682,274.358,257.346,257.305,250.894,250.835
Dec 2019,279.421,274.954,256.974,258.263,250.452,251.858
Feb 2020,282.115,278.081,258.678,259.007,251.935,252.363
Apr 2020,280.484,276.427,256.389,256.094,249.515,249.173
Jun 2020,281.055,276.244,257.797,257.217,251.054,250.422
Aug 2020,284.905,281.131,259.918,259.58,253.597,253.202
Oct 2020,284.505,280.152,260.388,260.352,254.076,254.029
Dec 2020,283.409,279.308,260.474,261.564,254.081,255.263
Feb 2021,286.95,282.795,263.014,263.346,256.843,257.296
Apr 2021,290.068,286.7,267.054,266.727,261.237,260.827
Jun 2021,296.573,293.607,271.696,270.955,266.412,265.593
Aug 2021,299.704,295.41,273.567,273.092,268.387,267.838
Oct 2021,303.099,297.873,276.589,276.59,271.552,271.531
Dec 2021,304.856,301.139,278.802,280.126,273.925,275.389
Feb 2022,310.078,305.702,283.716,284.182,278.943,279.612
Apr 2022,316.525,310.928,289.109,288.663,284.575,284.016
Jun 2022,326.656,321.626,296.311,295.328,292.542,291.389
